Clutter Class,Path Loss (DL) (dB),Best Server,Transmitter_X,Transmitter_Y,User_X,User_Y,Max_Power,Transmitter_Height,Transmitter_Azimuth,Transmitter_Mechanical_Downtilt,Antenna_Gain,Antenna_Horizontal_Half-power_Beamwidth,Antenna_Vertical_Half-power_Beamwidth,Frequency,Horizontal_Attenuation,Vertical_Attenuation,User_Azimuth,User_Downtilt,User_Height,RSRP,Distance_euclid
1 - open,117.03,Site5_2,596165.56,5633716.67,596161,5633658,49,28,120,8,8,65,6,3300,0.18,0.18,4.8,-24.1,1.5,-87.14,58.8469413
1 - open,121.18,Site4_1,596192.35,5634069.44,596206,5634251,41,18,0,2,8,65,6,3300,0.01,0.01,184.4,-5.2,1.5,-87.78,182.0723925
19 - high_buildings,116.46,Site8_1,595922.19,5634056.05,596074,5634137,46,22,0,2,8,65,6,3300,0.01,0.01,241.9,0.5,1.5,-81.64,172.0441182
11 - open_in_urban,119.4,Site6_2,595864.14,5633631.83,595928,5633678,48,18,120,2,8,65,6,3300,0.01,0.01,234.3,-11.8,1.5,-91.48,78.80208436
1 - open,92.37,Site6_1,595864.14,5633631.83,595902,5633678,43,14,0,9,8,65,6,3300,0.23,0.23,219.6,-11.8,1.5,-60.68,59.7080271
7 - dense_urban,108.4,Site7_3,596216.91,5633488.93,596209,5633404,47,23,240,3,8,65,6,3300,0.03,0.03,5.4,-3,1.5,-73.43,85.29755565
11 - open_in_urban,122.88,Site7_3,596216.91,5633488.93,596153,5633384,47,23,240,3,8,65,6,3300,0.03,0.03,31.4,-9.9,1.5,-89.46,122.8608685
1 - open,105.85,Site6_1,595864.14,5633631.83,595830,5633696,43,14,0,9,8,65,6,3300,0.23,0.23,152,-9.8,1.5,-71.51,72.68650838
1 - open,115.34,Site4_1,596192.35,5634069.44,596081,5634203,41,18,0,2,8,65,6,3300,0.01,0.01,140.4,-5.4,1.5,-81.22,173.8881712
19 - high_buildings,114.3,Site3_3,595774.83,5633884.13,595716,5633908,49,17,240,3,8,65,6,3300,0.03,0.03,112.1,-13.7,1.5,-81.57,63.4881548
19 - high_buildings,110.7,Site5_1,596165.56,5633716.67,596054,5633801,49,30,0,7,8,65,6,3300,0.14,0.14,126.9,0.2,1.5,-75.98,139.8469968
5 - residential,89.64,Site8_1,595922.19,5634056.05,595975,5634296,46,22,0,2,8,65,6,3300,0.01,0.01,192.5,-5.5,1.5,-55.07,245.6926914
12 - parks_in_urban,111.66,Site4_2,596192.35,5634069.44,596185,5634005,44,14,120,6,8,65,6,3300,0.1,0.1,6.2,1.3,1.5,-77.19,64.85781449
11 - open_in_urban,106.67,Site4_1,596192.35,5634069.44,596161,5634122,41,18,0,2,8,65,6,3300,0.01,0.01,149.7,-15,1.5,-74.75,61.19947794
11 - open_in_urban,110.22,Site2_2,595886.47,5634321.74,596094,5634290,43,18,120,2,8,65,6,3300,0.01,0.01,278.7,-9.6,1.5,-76.19,209.9431554
12 - parks_in_urban,100.55,Site4_1,596192.35,5634069.44,596127,5634146,41,18,0,2,8,65,6,3300,0.01,0.01,139.8,-3.7,1.5,-66.32,100.6581149
15 - dense_residential,114.78,Site2_1,595886.47,5634321.74,595832,5634431,43,14,0,4,8,65,6,3300,0.05,0.05,153.6,-12.3,1.5,-81.41,122.0849233
1 - open,112.19,Site4_3,596192.35,5634069.44,596093,5633896,43,10,240,4,8,65,6,3300,0.05,0.05,29.8,-2.4,1.5,-78.27,199.879604
12 - parks_in_urban,121.05,Site7_3,596216.91,5633488.93,596103,5633555,47,23,240,3,8,65,6,3300,0.03,0.03,120.1,-1.1,1.5,-86.14,131.684217
7 - dense_urban,111.89,Site5_2,596165.56,5633716.67,596163,5633651,49,28,120,8,8,65,6,3300,0.18,0.18,2.6,-9,1.5,-77.06,65.71987903
1 - open,113.55,Site4_1,596192.35,5634069.44,596289,5634120,41,18,0,2,8,65,6,3300,0.01,0.01,242.3,-8.6,1.5,-79.16,109.0758273
5 - residential,107.92,Site8_1,595922.19,5634056.05,595974,5634367,46,22,0,2,8,65,6,3300,0.01,0.01,189.5,-3.7,1.5,-73.54,315.2367025
19 - high_buildings,101.88,Site8_2,595922.19,5634056.05,595963,5633987,49,21,120,1,8,65,6,3300,0,0,329.3,-0.4,1.5,-67.8,80.20822028
7 - dense_urban,110.54,Site2_1,595886.47,5634321.74,595848,5634397,43,14,0,4,8,65,6,3300,0.05,0.05,153.1,-10.4,1.5,-76.78,84.52223672
19 - high_buildings,132.28,Site3_1,595774.83,5633884.13,595766,5633783,45,15,0,2,8,65,6,3300,0.01,0.01,5.1,-3.1,1.5,-98.69,101.5147566
12 - parks_in_urban,119.16,Site7_2,596216.91,5633488.93,596287,5633468,45,30,120,7,8,65,6,3300,0.14,0.14,286.7,-19.2,1.5,-86.04,73.14829458
7 - dense_urban,106.43,Site4_2,596192.35,5634069.44,596226,5634059,44,14,120,6,8,65,6,3300,0.1,0.1,286.4,4,1.5,-73.07,35.23231613
19 - high_buildings,100.01,Site5_3,596165.56,5633716.67,596103,5633675,47,13,240,8,8,65,6,3300,0.18,0.18,56.3,10.1,1.5,-69.93,75.16742978
7 - dense_urban,137.25,Site1_3,595522.53,5634212.34,595412,5634287,48,13,240,1,8,65,6,3300,0,0,124,1.5,1.5,-103,133.3828943
1 - open,129.43,Site8_2,595922.19,5634056.05,596145,5633849,49,21,120,1,8,65,6,3300,0,0,312.9,-3.9,1.5,-94.64,304.1611392
15 - dense_residential,110.64,Site7_3,596216.91,5633488.93,596132,5633542,47,23,240,3,8,65,6,3300,0.03,0.03,121.9,-9.9,1.5,-76.89,100.1305797
7 - dense_urban,119.81,Site7_3,596216.91,5633488.93,596170,5633382,47,23,240,3,8,65,6,3300,0.03,0.03,23.7,-7.6,1.5,-86.59,116.7671743
7 - dense_urban,61.62,Site2_3,595886.47,5634321.74,595869,5634323,44,20,240,5,8,65,6,3300,0.07,0.07,93.4,-47.4,1.5,-34.03,17.51537896
1 - open,100.93,Site5_3,596165.56,5633716.67,596188,5633696,47,13,240,8,8,65,6,3300,0.18,0.18,313.7,-20.7,1.5,-78.78,30.50905603
11 - open_in_urban,113.33,Site4_3,596192.35,5634069.44,596145,5633955,43,10,240,4,8,65,6,3300,0.05,0.05,22.4,-3.9,1.5,-79.48,123.8488438
19 - high_buildings,101.73,Site2_3,595886.47,5634321.74,595814,5634251,44,20,240,5,8,65,6,3300,0.07,0.07,45.4,-2,1.5,-67.52,101.2721507
7 - dense_urban,92.36,Site4_3,596192.35,5634069.44,596188,5634050,43,10,240,4,8,65,6,3300,0.05,0.05,11.9,26.1,1.5,-63.78,19.92074547
1 - open,100.57,Site3_1,595774.83,5633884.13,595760,5633906,45,15,0,2,8,65,6,3300,0.01,0.01,145.7,-60.2,1.5,-76.83,26.42396261
